ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size,Risk,Date_Assessed
CO01283S001,38.072333,-103.129028,JOHN MARTIN DAM - FORT LYON LEVEE,1007,dam_study,True,False,True,True,False,True,0.009916,Low (4),20160323
CA10114,36.4163091,-119.0032238,TERMINUS DAM,199,dam_study,True,False,True,True,True,True,0.073268,Low (4),20160131
CA10113,36.06067058,-118.9193398,Richard L. Schafer Dam,98,dam_study,True,False,True,True,True,True,0.073832,Moderate (3),20141105
NY00468,42.73329398,-77.90723181,MOUNT MORRIS DAM,316,dam_study,True,False,True,True,False,True,0.074212,Low (4),20160804
CA10109,38.15104106,-120.813699,NEW HOGAN DAM,297,dam_study,True,False,True,True,True,True,0.096345,Moderate (3),20081201
CA10104,37.90680141,-120.9340593,FARMINGTON DAM,260,dam_study,True,False,True,True,True,True,0.113525,Moderate (3),20081201
MO30204,36.93126768,-90.28052776,WAPPAPELLO DAM,348,dam_study,True,False,True,True,True,True,0.141195,Moderate (3),20220524
MS01495,34.14995402,-89.90581196,ENID DAM,231,dam_study,True,False,True,True,True,True,0.165098,Low (4),20140506
SC02753,34.68199176,-82.85111787,CLEMSON UPPER DIVERSION DAM,48,dam_study,True,False,True,False,False,True,0.214521,Low (4),20081201
CA10102,39.81628687,-122.3366757,BLACK BUTTE DAM,776,dam_study,True,False,True,True,True,True,0.229171,Moderate (3),20081201
SD01096,43.43798045,-103.5658486,COTTONWOOD SPRINGS DAM,148,dam_study,True,False,True,True,True,True,0.26726,Low (4),20161110
MS01496,34.75921395,-90.12374535,ARKABUTLA DAM,211,dam_study,True,False,True,True,True,True,0.283232,Moderate (3),20220524
CA10243,37.2171285,-119.9845339,BUCHANAN DAM,1071,dam_study,True,False,True,True,True,True,0.296997,Low (4),20081201
MS03356,33.07487999,-90.10131706,FLOOD WATER RETARDING STRUCTURE SITE 47,351,dam_study,True,False,True,False,False,True,0.355233,Low (4),20150721
CA10022,33.889999,-117.6421107,PRADO DAM,1061,dam_study,True,False,True,True,False,True,0.365941,High (2),20210831
SD01097,43.45341735,-103.4890904,COLD BROOK DAM,191,dam_study,True,False,True,True,True,True,0.417306,Moderate (3),20170525
MS01493,34.40871079,-89.79696915,SARDIS DAM,278,dam_study,True,False,True,True,True,True,0.458543,Low (4),20081201
CA10110,38.93654619,-121.0246647,NORTH FORK DAM,987,dam_study,True,False,True,True,True,True,0.606341,Low (4),20160131
PA00005,41.04845622,-77.60933596,FOSTER JOSEPH SAYERS DAM,978,dam_study,True,False,True,True,True,True,0.627989,Low (4),20090903
FL00425,27.11169856,-80.2851624,ST. LUCIE LOCK AND DAM,1001,dam_study,True,False,True,False,True,True,0.655316,Low (4),20160308
MS03475,33.17001025,-89.96108196,FLOOD WATER RETARDING STRUCTURE SITE 30,1011,dam_study,True,False,True,False,False,True,0.718311,Low (4),20150721
OK10317S001,34.078202,-96.553237,DENISON DAM - CUMBERLAND LEVEES,936,dam_study,True,False,True,True,True,True,1.174819,Moderate (3),20131125
PA00002,41.35920383,-77.92467161,ALVIN R. BUSH DAM,979,dam_study,True,False,True,True,True,True,1.284091,Low (4),20091020
OR00746,45.34704981,-119.5445308,WILLOW CREEK DAM,174,dam_study,True,False,True,True,True,True,1.436364,Low (4),20181126
OH00018,39.54214769,-82.05790138,TOM JENKINS DAM,1116,dam_study,True,False,True,True,True,True,1.686449,Low (4),20170712
IL55094,41.88857907,-87.6075818,CHICAGO RIVER AND HARBOR CONTROLLING WORKS,1530,dam_study,True,False,True,False,False,True,1.858023,Moderate (3),20171027
MS03599,33.0947749,-90.02898895,FLOOD WATER RETARDING STRUCTURE SITE 38,990,dam_study,True,False,True,False,False,True,2.121323,Low (4),20150721
NH00006,42.94647713,-72.23666102,OTTER BROOK DAM,940,dam_study,True,False,True,True,True,True,2.182719,Low (4),20141029
MA00966,42.10896966,-72.12621913,EAST BRIMFIELD DAM,3089,dam_study,True,False,True,True,True,True,2.193647,Low (4),20160323
MS03411,33.02910108,-90.19360301,FLOOD WATER RETARDING STRUCTURE SITE 52,1012,dam_study,True,False,True,False,False,True,2.545657,Low (4),20150721
VT00003,43.33765453,-72.50947248,NORTH SPRINGFIELD DAM,1079,dam_study,True,False,True,True,True,True,3.071161,Moderate (3),20221221
WA00301,47.6652943,-122.397247,HIRAM M. CHITTENDEN LOCKS AND DAM,127,dam_study,True,False,True,True,False,True,3.148715,Moderate (3),20180514
