ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size
MN00578S001,45.02201274,-95.7913865,CHIPPEWA DIVERSION DAM - WATSON SAG WEIR,4290,dam_study,False,False,True,False,False,False,0.0
PA00008,41.11224815,-75.7217298,FRANCIS E. WALTER DAM,359,dam_study,False,False,True,True,True,False,0.0
SD01095S001,46.084061,-100.63166,OAHE DAM - FORT YATES FLOOD PROTECTION PROJECT,5106,dam_study,False,False,False,True,False,True,0.0
PA00921S001,40.430882,-76.115219,BLUE MARSH DAM - BERNVILLE LEVEE,1002,dam_study,False,False,True,True,False,True,0.0
NM00002,35.46392106,-106.2084132,GALISTEO DAM,4766,dam_study,False,True,True,True,False,True,0.0
CO01283S001,38.072333,-103.129028,JOHN MARTIN DAM - FORT LYON LEVEE,1007,dam_study,True,False,True,True,False,True,0.009916
CA10016,33.89167,-117.925,BREA DAM,274,dam_study,True,False,True,True,False,False,0.03492
OH00004S002,40.65054941,-81.30093594,BOLIVAR DAM - MAGNOLIA LEVEE,243,dam_study,True,False,True,False,False,False,0.037618
CA10024,34.113331,-117.9683,SANTA FE DAM,320,dam_study,True,False,True,True,False,False,0.041952
CA10017,33.9145781,-117.8400628,CARBON CANYON DAM,309,dam_study,True,False,True,True,False,False,0.050179
OK10309S001,36.304363,-96.463931,KEYSTONE DAM - CLEVELAND LEVEE,4287,dam_study,True,False,True,True,False,False,0.055792
CA10027,34.02089743,-118.0549654,WHITTIER NARROWS DAM,104,dam_study,True,False,True,False,False,False,0.066683
KS00002S001,37.29189,-95.914999,ELK CITY DAM - ELK CITY LEVEE,1144,dam_study,True,False,True,False,False,False,0.067332
CA10114,36.4163091,-119.0032238,TERMINUS DAM,199,dam_study,True,False,True,True,True,True,0.073268
CA10113,36.06067058,-118.9193398,Richard L. Schafer Dam,98,dam_study,True,False,True,True,True,True,0.073832
NY00468,42.73329398,-77.90723181,MOUNT MORRIS DAM,316,dam_study,True,False,True,True,False,True,0.074212
CA10109,38.15104106,-120.813699,NEW HOGAN DAM,297,dam_study,True,False,True,True,True,True,0.096345
CA10025,34.16796302,-118.4717734,SEPULVEDA DAM,775,dam_study,True,False,True,True,False,False,0.111084
CA10104,37.90680141,-120.9340593,FARMINGTON DAM,260,dam_study,True,False,True,True,True,True,0.113525
CA10004,34.26046869,-118.2772704,HAINES CANYON DEBRIS DAM,1093,dam_study,True,False,True,False,False,False,0.131917
MO30204,36.93126768,-90.28052776,WAPPAPELLO DAM,348,dam_study,True,False,True,True,True,True,0.141195
MS01495,34.14995402,-89.90581196,ENID DAM,231,dam_study,True,False,True,True,True,True,0.165098
TX00017S001,31.85,-97.366669,WHITNEY DAM - KOPPERL LEVEE,778,dam_study,True,False,True,False,False,False,0.186894
SC02753,34.68199176,-82.85111787,CLEMSON UPPER DIVERSION DAM,48,dam_study,True,False,True,False,False,True,0.214521
CA10102,39.81628687,-122.3366757,BLACK BUTTE DAM,776,dam_study,True,False,True,True,True,True,0.229171
SD01096,43.43798045,-103.5658486,COTTONWOOD SPRINGS DAM,148,dam_study,True,False,True,True,True,True,0.26726
MS01496,34.75921395,-90.12374535,ARKABUTLA DAM,211,dam_study,True,False,True,True,True,True,0.283232
CA10243,37.2171285,-119.9845339,BUCHANAN DAM,1071,dam_study,True,False,True,True,True,True,0.296997
MS03356,33.07487999,-90.10131706,FLOOD WATER RETARDING STRUCTURE SITE 47,351,dam_study,True,False,True,False,False,True,0.355233
CA10022,33.889999,-117.6421107,PRADO DAM,1061,dam_study,True,False,True,True,False,True,0.365941
SD01097,43.45341735,-103.4890904,COLD BROOK DAM,191,dam_study,True,False,True,True,True,True,0.417306
MS01493,34.40871079,-89.79696915,SARDIS DAM,278,dam_study,True,False,True,True,True,True,0.458543
CA10110,38.93654619,-121.0246647,NORTH FORK DAM,987,dam_study,True,False,True,True,True,True,0.606341
PA00005,41.04845622,-77.60933596,FOSTER JOSEPH SAYERS DAM,978,dam_study,True,False,True,True,True,True,0.627989
FL00425,27.11169856,-80.2851624,ST. LUCIE LOCK AND DAM,1001,dam_study,True,False,True,False,True,True,0.655316
MS03475,33.17001025,-89.96108196,FLOOD WATER RETARDING STRUCTURE SITE 30,1011,dam_study,True,False,True,False,False,True,0.718311
MS01492,32.29839375,-90.86909385,BROWN'S LAKE DAM,1149,dam_study,True,False,True,False,False,False,0.798387
OK10317S001,34.078202,-96.553237,DENISON DAM - CUMBERLAND LEVEES,936,dam_study,True,False,True,True,True,True,1.174819
PA00002,41.35920383,-77.92467161,ALVIN R. BUSH DAM,979,dam_study,True,False,True,True,True,True,1.284091
OR00746,45.34704981,-119.5445308,WILLOW CREEK DAM,174,dam_study,True,False,True,True,True,True,1.436364
OH00018,39.54214769,-82.05790138,TOM JENKINS DAM,1116,dam_study,True,False,True,True,True,True,1.686449
IL55094,41.88857907,-87.6075818,CHICAGO RIVER AND HARBOR CONTROLLING WORKS,1530,dam_study,True,False,True,False,False,True,1.858023
CA10020,34.30401002,-118.4103867,LOPEZ DAM,1479,dam_study,True,False,False,False,False,False,2.017848
